file,kind,npts,nx,ny_or_nz,const_y_or_z_m,x_min_m,x_max_m,y_min_m,y_max_m,z_min_m,z_max_m,e2_max_all,e2_max_all_x_m,e2_max_all_y_m,e2_max_all_z_m,e2_max_internal,e2_max_internal_x_m,e2_max_internal_y_m,e2_max_internal_z_m,e2_min_positive
field_map_xy_z001.bin,XY,160801,401,401,2.200000000000e+00,-1.890000000000e-01,1.890000000000e-01,-1.890000000000e-01,1.890000000000e-01,2.200000000000e+00,2.200000000000e+00,3.978817318800e-01,-1.020600000000e-01,1.379700000000e-01,2.200000000000e+00,nan,nan,nan,nan,2.408149024083e-05
field_map_xy_z002.bin,XY,160801,401,401,2.222857142857e+00,-1.662000000000e-01,1.662000000000e-01,-1.662000000000e-01,1.662000000000e-01,2.222857142857e+00,2.222857142857e+00,1.061075167034e+02,8.891700000000e-02,1.229880000000e-01,2.222857142857e+00,nan,nan,nan,nan,3.639328484885e-05
field_map_xy_z003.bin,XY,160801,401,401,2.245714285714e+00,-1.434000000000e-01,1.434000000000e-01,-1.434000000000e-01,1.434000000000e-01,2.245714285714e+00,2.245714285714e+00,2.459891742569e+02,8.245500000000e-02,-9.607800000000e-02,2.245714285714e+00,nan,nan,nan,nan,5.223079221345e-05
field_map_xy_z004.bin,XY,160801,401,401,2.268571428571e+00,-1.206000000000e-01,1.206000000000e-01,-1.206000000000e-01,1.206000000000e-01,2.268571428571e+00,2.268571428571e+00,2.240835192401e+01,1.013040000000e-01,-2.532600000000e-02,2.268571428571e+00,nan,nan,nan,nan,2.715693797630e-05
field_map_xy_z005.bin,XY,160801,401,401,2.291428571429e+00,-9.780000000000e-02,9.780000000000e-02,-9.780000000000e-02,9.780000000000e-02,2.291428571429e+00,2.291428571429e+00,2.831544397351e+01,7.579500000000e-02,-3.178500000000e-02,2.291428571429e+00,nan,nan,nan,nan,2.502126272579e-05
field_map_xy_z006.bin,XY,160801,401,401,2.314285714286e+00,-7.500000000000e-02,7.500000000000e-02,-7.500000000000e-02,7.500000000000e-02,2.314285714286e+00,2.314285714286e+00,3.812653422781e+02,6.225000000000e-02,-1.725000000000e-02,2.314285714286e+00,nan,nan,nan,nan,6.879119713143e-05
field_map_xy_z007.bin,XY,160801,401,401,2.337142857143e+00,-5.220000000000e-02,5.220000000000e-02,-5.220000000000e-02,5.220000000000e-02,2.337142857143e+00,2.337142857143e+00,1.742475903743e+03,-3.888900000000e-02,1.957500000000e-02,2.337142857143e+00,nan,nan,nan,nan,5.181539122973e-05
field_map_xy_z008.bin,XY,160801,401,401,2.360000000000e+00,-2.940000000000e-02,2.940000000000e-02,-2.940000000000e-02,2.940000000000e-02,2.360000000000e+00,2.360000000000e+00,5.758449277414e+01,2.734200000000e-02,-6.027000000000e-03,2.360000000000e+00,nan,nan,nan,nan,4.889275591833e-04
field_map_xy_z009.bin,XY,160801,401,401,2.376666666667e+00,-2.940000000000e-02,2.940000000000e-02,-2.940000000000e-02,2.940000000000e-02,2.376666666667e+00,2.376666666667e+00,2.458130485113e+01,2.601900000000e-02,-1.029000000000e-02,2.376666666667e+00,nan,nan,nan,nan,5.715679578967e-04
field_map_xy_z010.bin,XY,160801,401,401,2.393333333333e+00,-2.940000000000e-02,2.940000000000e-02,-2.940000000000e-02,2.940000000000e-02,2.393333333333e+00,2.393333333333e+00,2.472577479832e+01,2.734200000000e-02,-6.027000000000e-03,2.393333333333e+00,nan,nan,nan,nan,3.140874769851e-04
field_map_xy_z011.bin,XY,160801,401,401,2.410000000000e+00,-2.940000000000e-02,2.940000000000e-02,-2.940000000000e-02,2.940000000000e-02,2.410000000000e+00,2.410000000000e+00,1.978088783496e+01,-1.470000000000e-04,1.951563910474e-18,2.410000000000e+00,nan,nan,nan,nan,5.084735239093e-04
field_map_xz.bin,XZ,200000,400,500,0.000000000000e+00,-1.890000000000e-01,1.890000000000e-01,0.000000000000e+00,0.000000000000e+00,2.200000000000e+00,2.424000000000e+00,1.965171765376e+03,-2.794736842105e-02,0.000000000000e+00,2.375967935872e+00,nan,nan,nan,nan,5.287302107752e-06
